Game ID,Competition,Season,Date,Home team,Away team,Tackling team,Carrying team,Time,Phase,x_start,y_start,Tackle descriptor,Tackle outcome,Tackle qualifier,Tackle dominance,Tackler number,Tackle area,Tackler name,Tackler position,Attacking player name,Missed tackle category,Missed tackle outcome
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06838,1,86,51,Chase,Complete,Assist,Neutral Tackle,2nd Tackler,Upper Torso,Zane Nonggorr,3,Semisi Tupou Ta'eiloa,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06843,2,93,51,Line,Missed,,Ineffective Tackle,1st Tackler,,Harry Wilson,8,William Havili,Positional,Tackled
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06927,2,58,18,Line,Complete,,Neutral Tackle,1st Tackler,Lower Torso,Tom Lynagh,10,Pepesana Patafilo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06934,3,57,31,Line,Complete,,Neutral Tackle,1st Tackler,Upper Torso,Joe Brial,6,Sama Malolo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06934,3,57,31,Line,Complete,Assist,Neutral Tackle,2nd Tackler,Upper Torso,Angus Blyth,4,Sama Malolo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06938,4,53,40,Line,Missed,,Ineffective Tackle,1st Tackler,Upper Torso,Harry Wilson,8,Chris Apoua,Bumped Off,Tackled
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06939,4,52,33,Line,Passive,Assist,Ineffective Tackle,2nd Tackler,Upper Torso,Angus Blyth,4,Chris Apoua,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06953,5,50,17,Line,Complete,,Neutral Tackle,1st Tackler,Legs,Josh Flook,13,Danny Toala,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_06953,5,50,17,Line,Complete,Assist,Neutral Tackle,2nd Tackler,Upper Torso,Harry Wilson,8,Danny Toala,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07000,6,48,34,Line,Complete,,Neutral Tackle,1st Tackler,Legs,Fraser McReight,7,Semisi Tupou Ta'eiloa,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07009,7,61,52,Line,Passive,,Ineffective Tackle,1st Tackler,Upper Torso,Kalani Thomas,9,Losilosivale Filipo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07025,1,25,66,Cover,Missed,,Ineffective Tackle,1st Tackler,,Miracle Faiilagi,6,Filipo Daugunu,Outpaced,Try
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07027,1,17,65,Cover,Offload Allowed,Assist,Neutral Tackle,2nd Tackler,Legs,William Havili,15,Filipo Daugunu,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07206,1,71,15,Chase,Passive,,Ineffective Tackle,1st Tackler,Upper Torso,Miracle Faiilagi,6,Hunter Paisami,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07213,2,69,33,Line,Passive,,Ineffective Tackle,1st Tackler,Upper Torso,Tom Savage,4,Harry Wilson,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07227,1,55,46,Chase,Complete,,Neutral Tackle,1st Tackler,Upper Torso,Angus Blyth,4,William Havili,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07234,2,55,36,Line,Passive,,Ineffective Tackle,1st Tackler,Upper Torso,Ryan Smith,5,Sama Malolo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07234,2,55,36,Line,Passive,Assist,Ineffective Tackle,2nd Tackler,Upper Torso,Lachie Anderson,14,Sama Malolo,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07239,3,54,45,Line,Complete,,Neutral Tackle,1st Tackler,Upper Torso,Angus Blyth,4,Tom Savage,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07245,1,45,10,Other,Complete,,Neutral Tackle,1st Tackler,Upper Torso,Jackson Garden-Bachop,10,Matt Faessler,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Queensland Reds,Moana Pasifika,2_07333,1,91,21,Line,Passive,,Ineffective Tackle,1st Tackler,Legs,Matt Faessler,2,Semisi Tupou Ta'eiloa,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07403,1,33,50,Line,Sack,,Dominant Tackle,1st Tackler,Lower Torso,Sama Malolo,2,Kalani Thomas,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07555,1,38,24,Line,Offload Allowed,,Ineffective Tackle,1st Tackler,Upper Torso,Jonathan Taumateine,9,Kalani Thomas,,
945270,Super Rugby Pacific,2025,21/02/2025,Queensland Reds,Moana Pasifika,Moana Pasifika,Queensland Reds,2_07601,1,3,43,Cover,Missed,,Ineffective Tackle,1st Tackler,,William Havili,15,Harry McLaughlin-Phillips,Stepped,Try
